Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
ALC,2025,5,9,46000.00,0.00,0.00,21669.54,14343.03,0.00,,,,,,,
ALC,2025,4,177,211000.00,0.00,0.00,102388.64,0.00,0.00,,,,,,,
ALC,2025,5,260,100000.00,0.00,0.00,70509.09,0.00,0.00,,,,,,,
ALC,2025,5,730,0.00,0.00,0.00,360.43,,,,,,,,,
ALC,2025,5,64,0.00,0.00,0.00,1736.54,,,,,,,,,
ALC,2025,5,58,0.00,0.00,0.00,14899.32,1810.99,0.00,,,,,,,
ALC,2025,4,37,320264.00,0.00,0.00,197076.39,135455.27,0.00,,,,,,,
ALC,2025,4,282,1331000.00,0.00,0.00,2271.01,63982.63,0.00,,,,,,,
ALC,2025,4,179,200000.00,0.00,0.00,111559.56,0.00,0.00,,,,,,,
ALC,2025,5,57,0.00,0.00,0.00,689.25,,,,,,,,,
ALC,2025,5,14,0.00,0.00,0.00,8770.00,5962.00,0.00,,,,,,,
ALC,2025,4,51,9022.00,0.00,0.00,5552.00,3817.00,0.00,,,,,,,
ALC,2025,5,225,60000.00,0.00,0.00,31169.25,0.00,0.00,,,,,,,
ALC,2025,5,276,0.00,0.00,0.00,1467.64,1467.64,0.00,,,,,,,
ALC,2025,4,1,802470.00,0.00,0.00,490595.17,337127.05,0.00,,,,,,,
ALC,2025,5,56,23649.00,0.00,0.00,0.00,,,,,,,,,
ALC,2025,5,800,0.00,0.00,0.00,-1467.64,,,,,,,,,
ALC,2025,5,799,0.00,0.00,57720.82,-277413.67,,,,,,,,,
ALC,2025,4,56,8205.00,0.00,0.00,45.50,1066.51,0.00,,,,,,,
ALC,2025,4,178,612000.00,0.00,0.00,274488.59,,,,,,,,,
ALC,2025,4,2,0.00,0.00,0.00,-177.32,,,,,,,,,
ALC,2025,4,256,0.00,0.00,1662.38,10379.47,288082.12,0.00,,,,,,,
ALC,2025,5,76,0.00,0.00,0.00,295.00,,,,,,,,,
ALC,2025,5,256,350000.00,0.00,602.97,375153.63,0.00,0.00,,,,,,,
ALC,2025,5,51,14456.00,0.00,0.00,8896.00,6116.00,0.00,,,,,,,
ALC,2025,4,230,0.00,0.00,0.00,488.59,11576.37,0.00,,,,,,,
ALC,2025,4,76,0.00,0.00,0.00,235.00,,,,,,,,,
ALC,2025,4,755,446892.00,0.00,0.00,322473.76,-4100.12,0.00,,,,,,,
ALC,2025,5,75,0.00,0.00,0.00,650.00,,,,,,,,,
ALC,2025,4,77,0.00,0.00,0.00,315.90,488.89,0.00,,,,,,,
ALC,2025,4,80,0.00,0.00,0.00,499.03,356.45,0.00,,,,,,,
ALC,2025,4,75,0.00,0.00,0.00,3330.00,0.00,0.00,,,,,,,
ALC,2025,54,1,146270.00,0.00,0.00,59163.43,40552.84,0.00,,,,,,,
ALC,2025,4,229,0.00,0.00,0.00,0.00,65.33,0.00,,,,,,,
ALC,2025,4,711,51000.00,0.00,0.00,24238.86,0.00,0.00,,,,,,,
ALC,2025,5,229,0.00,0.00,0.00,53.03,0.00,0.00,,,,,,,
ALC,2025,4,747,579334.00,0.00,0.00,557737.00,,,,,,,,,
ALC,2025,5,282,852199.00,0.00,18690.00,159612.41,18620.48,0.00,,,,,,,
ALC,2025,5,48,1920265.00,0.00,0.00,903165.19,611049.28,0.00,,,,,,,
ALC,2025,5,74,0.00,0.00,0.00,1910.00,,,,,,,,,
ALC,2025,5,320,37656.00,0.00,33769.92,20702.88,-3623.80,0.00,,,,,,,
DCI,2025,5,143,0.00,0.00,0.00,0.00,0.00,3957.15,,,,,,,
DCI,2025,5,624,0.00,0.00,0.00,0.00,0.00,13862.12,,,,,,,
DCI,2025,4,747,1847465.00,0.00,0.00,1768472.00,0.00,1500872.00,,,,,,,
DCI,2025,5,145,0.00,0.00,0.00,119.45,0.00,33734.73,,,,,,,
DCI,2025,5,20,0.00,0.00,0.00,3167.61,0.00,13525.25,,,,,,,
DCI,2025,5,387,0.00,0.00,0.00,-2268.97,0.00,-4666.93,,,,,,,
DCI,2025,5,186,0.00,0.00,0.00,49.50,0.00,444.50,,,,,,,
DCI,2025,5,173,0.00,0.00,43.23,588.78,0.00,669.30,,,,,,,
DCI,2025,4,145,0.00,0.00,0.00,0.00,0.00,197.59,,,,,,,
DCI,2025,5,747,134064.00,0.00,0.00,0.00,,,,,,,,,
DCI,2025,4,21,0.00,0.00,0.00,0.00,0.00,929.48,,,,,,,
DCI,2025,4,112,0.00,0.00,0.00,0.00,0.00,75.00,,,,,,,
DCI,2025,5,168,0.00,0.00,0.00,489.87,0.00,3489.87,,,,,,,
DCI,2025,5,164,0.00,0.00,11373.65,2289.69,0.00,7645.04,,,,,,,
DCI,2025,5,174,0.00,0.00,0.00,6848.09,0.00,12632.82,,,,,,,
DCI,2025,4,37,356744.00,0.00,0.00,119836.81,390321.00,289087.24,,,,,,,
DCI,2025,5,37,8638093.00,0.00,0.00,2557148.37,11001.32,8459379.14,,,,,,,
DCI,2025,5,158,78714.00,0.00,68740.21,17859.82,0.00,81150.75,,,,,,,
DCI,2025,5,21,0.00,0.00,0.00,697.20,0.00,6154.95,,,,,,,
DCI,2025,4,172,0.00,0.00,0.00,3820.00,0.00,3820.00,,,,,,,
DCI,2025,4,179,21000.00,0.00,0.00,944.90,0.00,4435.02,,,,,,,
DCI,2025,5,620,0.00,0.00,0.00,0.00,0.00,6545.00,,,,,,,
DCI,2025,5,172,0.00,0.00,3159.03,3617.86,0.00,10007.93,,,,,,,
DCI,2025,4,158,5000.00,0.00,2848.90,569.78,0.00,3418.68,,,,,,,
DCI,2025,5,170,0.00,0.00,0.00,190.90,0.00,800.37,,,,,,,
DCI,2025,4,178,540305.00,0.00,0.00,190658.48,0.00,560981.81,,,,,,,
DCI,2025,5,619,0.00,0.00,0.00,0.00,0.00,10045.76,,,,,,,
DCI,2025,54,37,98854.00,0.00,0.00,33349.41,110450.00,70190.87,,,,,,,
DCI,2025,4,177,2500.00,0.00,0.00,25.00,0.00,147.55,,,,,,,
DCI,2025,5,61,0.00,0.00,0.00,0.00,0.00,376.00,,,,,,,
DCI,2025,5,698,19535.00,0.00,0.00,0.00,700.00,643.00,,,,,,,
DCI,2025,4,735,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,4,80,0.00,0.00,0.00,0.00,0.00,334.93,,,,,,,
DCI,2025,5,704,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,4,48,82682.00,0.00,0.00,32594.73,0.00,86937.60,,,,,,,
